229	소면	g	3.500	0.750	0.100	0.010
230	소세지	g	2.500	0.030	0.100	0.230
233	숙주	g	0.300	0.070	0.050	0.000
235	순두부	g	0.760	0.030	0.100	0.030
240	스파게티면	g	3.500	0.720	0.120	0.020
241	슬라이스치즈	장	80.000	1.180	4.240	6.590
242	슬라이스햄	장	80.000	2.000	6.000	5.200
243	시금치	g	0.230	0.040	0.030	0.000
246	식빵	장	106.000	20.000	3.000	1.300
247	식용유	ml	8.800	0.000	0.000	1.000
249	쌀	g	3.600	0.790	0.070	0.007
251	쌀국수면	g	3.500	0.790	0.070	0.010
255	아귀	마리	4000.000	91.430	2.860	0.000
256	아몬드	g	5.790	0.216	0.212	0.499
258	아보카도	개	320.000	18.000	4.000	30.000
259	아스파라거스	g	0.200	0.040	0.020	0.000
261	알배추	개	50.000	10.000	5.000	0.000
263	애호박	개	50.000	11.770	2.940	0.290
264	양고기	g	2.500	0.000	0.170	0.200
265	양배추	개	200.000	48.000	10.400	0.800
266	양상추	g	0.140	0.030	0.009	0.001
267	양송이버섯	g	0.220	0.030	0.030	0.000
269	양파	개	50.000	11.250	1.380	0.130
272	어묵	g	1.200	0.150	0.090	0.030
276	연근	개	100.000	22.860	2.860	0.000
278	연두부	모	100.000	4.000	10.000	5.000
279	연어	g	2.000	0.000	0.200	0.130
284	오렌지	개	60.000	14.670	1.330	0.130
286	오이	개	10.000	2.000	0.730	0.090
287	오이고추	개	10.000	2.000	0.400	0.100
288	오징어	마리	200.000	0.000	42.350	3.530
290	오트밀	g	3.790	0.677	0.132	0.065
291	옥수수	개	100.000	20.760	3.300	1.420
292	옥수수전분	g	3.500	0.880	0.010	0.000
295	올리브유	ml	8.800	0.000	0.000	1.000
296	완두콩	g	3.400	0.600	0.250	0.010
297	요거트	ml	0.600	0.050	0.040	0.030
299	우동면	g	3.500	0.740	0.100	0.010
301	우삼겹	g	5.000	0.000	0.150	0.480
304	우유	ml	0.600	0.050	0.030	0.040
307	유부	g	3.800	0.050	0.200	0.320
309	자몽	개	80.000	20.000	1.500	0.200
311	잣	g	6.400	0.175	0.154	0.615
313	전복	g	1.000	0.040	0.180	0.010
317	조개	g	0.700	0.030	0.120	0.010
318	조기	마리	200.000	0.000	33.330	6.670
320	중화면	g	1.500	0.320	0.050	0.010
321	즉석밥	개	300.000	68.000	6.000	1.000
326	쪽파	g	0.300	0.060	0.020	0.000
327	쫄면사리	g	3.500	0.750	0.080	0.010
328	쭈꾸미	g	0.700	0.010	0.150	0.010
330	차돌박이	g	5.000	0.000	0.340	0.400
331	참기름	큰술	120.000	0.000	0.000	13.580
336	찹쌀	g	3.700	0.820	0.070	0.006
340	청경채	g	0.140	0.020	0.020	0.000
343	청양고추	개	5.000	1.000	0.250	0.060
350	치아씨드	g	4.860	0.420	0.170	0.310
351	치즈	g	4.000	0.010	0.250	0.330
357	칵테일새우	g	0.800	0.000	0.200	0.010
358	칼국수면	g	3.500	0.740	0.100	0.010
361	코다리	마리	4000.000	77.780	7.410	0.000
362	코인 육수	개	10.000	1.670	0.670	0.170
363	코코넛밀크	ml	2.000	0.050	0.020	0.210
365	콩	g	4.460	0.302	0.365	0.199
366	콩나물	g	0.400	0.050	0.040	0.000
368	크림치즈	g	3.000	0.040	0.050	0.300
369	키위	개	40.000	9.630	0.740	0.370
373	토마토	개	20.000	4.360	1.090	0.180
374	토마토소스	ml	1.000	0.150	0.030	0.030
376	통조림옥수수	g	1.000	0.220	0.030	0.010
377	통조림참치	g	1.500	0.000	0.180	0.090
378	통조림햄	g	2.500	0.020	0.130	0.210
380	튀김가루	g	3.500	0.780	0.060	0.010
382	파마산치즈	큰술	40.000	0.370	3.530	2.690
383	파스타면	g	3.500	0.720	0.120	0.020
385	파인애플	g	0.530	0.140	0.010	0.000
387	파프리카	개	30.000	6.750	1.500	0.300
389	팥	g	3.290	0.629	0.199	0.005
390	팽이버섯	g	0.300	0.060	0.020	0.000
394	표고버섯	g	0.300	0.070	0.030	0.004
404	햄	g	2.500	0.020	0.130	0.210
407	현미	g	3.700	0.772	0.079	0.029
408	호두	g	6.540	0.137	0.152	0.652
412	홍합	g	0.700	0.030	0.120	0.010
417	훈제오리	g	3.500	0.050	0.180	0.300
418	휘핑크림	ml	3.000	0.100	0.050	0.300
419	흑미	g	3.640	0.760	0.090	0.030
424	갑오징어	g	0.760	0.010	0.160	0.010
425	강낭콩	g	3.370	0.610	0.230	0.010
427	건포도	g	2.990	0.790	0.030	0.000
433	곤약면	g	0.100	0.030	0.000	0.000
435	관자	g	0.880	0.020	0.170	0.010
441	기장	g	3.780	0.730	0.110	0.040
443	깜빠뉴	g	2.650	0.520	0.090	0.020
450	누룽지	g	3.900	0.860	0.070	0.010
455	닭 안심	g	1.050	0.000	0.230	0.010
458	닭볶음탕용 닭	g	1.850	0.000	0.180	0.110
460	대게	g	0.630	0.000	0.140	0.010
461	대구	g	0.780	0.000	0.170	0.010
462	더덕	g	0.780	0.170	0.030	0.000
470	돼지 가브리살	g	2.600	0.000	0.170	0.210
477	돼지 등갈비	g	2.450	0.000	0.180	0.180
479	돼지 오겹살	g	3.480	0.000	0.150	0.310
482	라드	g	9.000	0.000	0.000	1.000
486	라임	g	0.300	0.110	0.010	0.000
489	라자냐면	g	3.600	0.750	0.120	0.010
501	렌틸콩	g	3.530	0.600	0.250	0.010
503	루꼴라	g	0.250	0.040	0.030	0.010
506	리코타치즈	g	1.740	0.030	0.110	0.130
508	링귀니	g	3.550	0.740	0.130	0.020
523	무화과	g	0.740	0.190	0.010	0.000
535	부채살	g	1.920	0.000	0.200	0.110
536	분모자	g	1.550	0.380	0.000	0.000
548	사워도우	g	2.300	0.480	0.090	0.020
553	살라미	g	3.800	0.020	0.220	0.320
558	생오리	g	3.400	0.000	0.190	0.280
577	수수	g	3.600	0.750	0.110	0.030
578	수제비	g	2.800	0.600	0.070	0.010
587	썬드라이 토마토	g	2.100	0.230	0.050	0.140
590	아마씨	g	5.300	0.290	0.180	0.420
592	아보카도오일	ml	8.200	0.000	0.000	0.910
595	양갈비	g	3.000	0.000	0.180	0.240
600	에그누들	g	3.840	0.720	0.140	0.040
603	엑스트라 버진 올리브유	ml	8.200	0.000	0.000	0.920
